Accelerometer1RMS,Accelerometer2RMS,Current,Pressure,Temperature,Thermocouple,Voltage,Volume Flow RateRMS,anomaly_score,label
0.246327,0.287009,2.40879,0.054711,85.195,31.529,235.99,127.62799999999999,0.0,0
0.242581,0.283348,2.7168900000000002,0.054711,85.2346,31.5396,229.782,127.68799999999999,0.0,0
0.244644,0.282183,1.0409,0.054711,85.3069,31.5405,217.946,128.688,0.0,0
0.240073,0.280213,2.61355,0.054711,85.147,31.5425,227.46,128.313,0.0,0
0.243515,0.278383,2.63843,0.38263800000000003,85.3332,31.5475,233.389,128.688,0.0,0
0.24407600000000002,0.27833600000000003,2.4445799999999998,0.054711,85.0319,31.5526,217.805,128.313,0.0,0
0.24403000000000002,0.283473,2.63269,0.054711,85.2624,31.5465,221.83,128.688,0.0,0
0.238004,0.284476,2.76057,0.054711,85.7055,31.5465,237.387,128.313,0.0,0
0.234843,0.287916,1.51978,0.054711,85.7012,31.5412,213.146,128.0,0.0,0
0.234352,0.27779499999999996,3.08734,0.710565,85.6009,31.5497,241.6,127.31299999999999,0.0,0
0.23373400000000005,0.278271,2.81846,0.38263800000000003,85.1609,31.5599,223.88400000000001,127.68799999999999,0.0,0
0.23525100000000002,0.279283,2.9074400000000002,0.38263800000000003,85.7664,31.5568,220.68,127.31299999999999,0.0,0
0.23559899999999998,0.279352,3.29625,0.054711,85.7601,31.5559,242.50099999999998,127.68799999999999,0.0,0
0.23479899999999998,0.28169,3.02746,0.054711,85.6461,31.5563,220.56599999999997,128.0,0.0,0
0.236195,0.280278,3.0398,0.054711,85.4209,31.5602,242.77200000000002,128.688,0.0,0
0.23614200000000002,0.276731,2.63531,0.38263800000000003,85.6236,31.5656,217.364,128.0,0.0,0
0.23766199999999998,0.281543,2.7679400000000003,0.38263800000000003,85.8246,31.5656,214.53900000000002,128.0,0.0,0
0.236436,0.286431,2.59118,0.054711,85.694,31.5727,211.66,128.688,0.0,0
0.238188,0.279452,2.28622,0.054711,85.695,31.5681,213.975,128.313,0.0,0
0.233224,0.280941,2.40584,0.38263800000000003,85.5336,31.5645,212.59099999999998,128.0,0.0,0
0.239329,0.28934299999999996,2.6435299999999997,0.054711,85.8095,31.5756,226.47099999999998,128.688,0.0,0
0.240274,0.28594899999999995,1.07291,0.054711,85.7475,31.5707,213.933,127.62799999999999,0.0,0
0.23713099999999998,0.284283,2.8032,-0.27321599999999996,85.7776,31.5824,233.975,128.378,0.0,0
0.237296,0.283533,2.01021,-0.27321599999999996,85.9118,31.5824,221.835,129.0,0.0,0
0.234375,0.285077,1.85145,0.054711,85.708,31.5772,210.852,129.0,0.0,0
0.234823,0.27685,2.65587,0.054711,85.7818,31.5831,225.85299999999998,128.313,0.0,0
0.233528,0.27789200000000003,1.71977,-0.601143,85.8175,31.5895,210.47400000000002,127.31299999999999,0.0,0
0.2349,0.278829,3.11436,0.38263800000000003,85.8791,31.5972,240.38299999999998,127.68799999999999,0.0,0
0.23889200000000002,0.282459,3.1974400000000003,-0.601143,85.8564,31.5915,249.435,128.0,0.0,0
0.23467399999999997,0.280996,2.66005,0.054711,85.7871,31.6073,234.0,128.0,0.0,0
0.24131100000000005,0.289597,1.8627900000000002,-0.601143,85.8226,31.6049,231.368,128.0,0.0,0
0.23624,0.284484,2.1672,-0.601143,85.84299999999998,31.6049,249.481,128.0,0.0,0
0.241154,0.28622,3.16502,0.38263800000000003,85.8279,31.6114,240.73,128.688,0.0,0
0.236067,0.281301,3.19083,0.38263800000000003,85.6739,31.604,240.858,128.688,0.0,0
0.236656,0.28080900000000003,1.27299,0.38263800000000003,85.9394,31.6106,231.52900000000002,129.0,0.0,0
0.23409499999999997,0.280538,2.68087,0.38263800000000003,85.8731,31.6144,223.295,128.313,0.0,0
0.235977,0.279566,2.4249099999999997,0.054711,85.6925,31.6195,219.486,128.0,0.0,0
0.24313200000000001,0.287646,2.60776,0.38263800000000003,85.7343,31.6141,226.752,128.688,0.0,0
0.242838,0.28975,2.14189,0.38263800000000003,85.9691,31.6192,249.463,128.313,0.0,0
0.23899,0.282727,2.0371,0.38263800000000003,85.9178,31.6192,203.77599999999998,128.0,0.0,0
0.2351280000000001,0.28158099999999997,2.6360900000000003,0.38263800000000003,85.7871,31.6284,240.28900000000002,128.0,0.0,0
0.23443699999999998,0.27642100000000003,2.1964799999999998,0.38263800000000003,85.7972,31.6288,239.55599999999998,128.0,0.0,0
0.235812,0.27365500000000004,2.49953,0.38263800000000003,85.9652,31.6252,214.77700000000002,128.0,0.0,0
0.239023,0.284933,2.71469,0.710565,86.0002,31.6185,221.335,127.31299999999999,0.0,0
0.244469,0.28831599999999996,2.2995799999999997,0.054711,85.7198,31.624000000000002,240.851,127.0,0.0,0
0.23925,0.28275100000000003,2.06621,0.38263800000000003,85.8502,31.614,228.895,127.68799999999999,0.0,0
0.234415,0.277708,1.3072,0.38263800000000003,85.8142,31.6006,222.24099999999999,128.0,0.0,0
0.23997,0.286967,2.19023,0.054711,85.7232,31.6061,229.717,127.31299999999999,0.0,0
0.235073,0.275619,2.2601,0.054711,85.9083,31.6061,212.078,127.68799999999999,0.0,0
0.23634000000000002,0.279467,2.62698,0.054711,85.9733,31.5914,223.965,127.31299999999999,0.0,0
0.245883,0.285008,2.29357,0.38263800000000003,85.8392,31.5871,209.48,127.0,0.0,0
0.2449260000000001,0.281384,2.63932,0.054711,85.7699,31.5744,227.66299999999998,127.68799999999999,0.0,0
0.250184,0.28831599999999996,2.5173,0.054711,85.3903,31.5718,236.43599999999998,128.0,0.0,0
0.244561,0.280181,2.31847,0.38263800000000003,85.36399999999998,31.5585,212.394,128.0,0.0,0
0.247768,0.285005,2.66152,-0.27321599999999996,85.6239,31.5523,227.135,128.0,0.0,0
0.24801700000000002,0.286425,2.16487,0.054711,85.3136,31.5455,238.76,128.688,0.0,0
0.244231,0.281296,2.2728200000000003,0.054711,85.3612,31.5455,227.636,127.62799999999999,0.0,0
0.24558600000000005,0.281495,3.0314200000000002,0.710565,85.3354,31.5402,241.405,127.0,0.0,0
0.237413,0.279406,2.47447,0.054711,86.0063,31.535,235.79,127.689,0.0,0
0.238864,0.281388,2.5443700000000002,-0.27321599999999996,85.581,31.5296,224.542,128.0,0.0,0
0.23756,0.279047,2.6945799999999998,0.054711,85.2763,31.5374,226.725,128.0,0.0,0
0.235947,0.279539,3.0223400000000002,0.710565,85.1046,31.5319,209.01,128.0,0.0,0
0.23847100000000002,0.287591,2.6307,0.38263800000000003,85.2409,31.5341,214.62599999999998,127.31299999999999,0.0,0
0.23615999999999998,0.279839,2.58812,0.38263800000000003,85.5145,31.5345,205.75400000000002,127.689,0.0,0
0.23571999999999999,0.278248,2.70113,0.38263800000000003,85.3052,31.5345,213.02,128.0,0.0,0
0.23740799999999998,0.278542,1.53791,0.054711,85.3247,31.5369,210.864,128.0,0.0,0
0.23601999999999998,0.277884,1.4780200000000001,0.054711,85.3086,31.5328,213.687,127.31299999999999,0.0,0
0.24432399999999999,0.293075,1.31161,0.054711,85.4051,31.5394,213.58700000000002,127.689,0.0,0
0.23839200000000002,0.282727,3.14831,0.054711,85.2537,31.5414,248.523,128.689,0.0,0
0.23429499999999998,0.280371,2.48503,0.38263800000000003,85.3984,31.5369,221.90200000000002,127.62799999999999,0.0,0
0.235929,0.277361,2.82404,0.054711,85.1479,31.5483,224.21200000000002,128.0,0.0,0
0.24293499999999998,0.284956,2.77313,-0.27321599999999996,85.3066,31.5527,226.405,127.31299999999999,0.0,0
0.237475,0.28218000000000004,2.66175,0.054711,85.1434,31.5623,227.863,127.689,0.0,0
0.23439400000000002,0.278914,2.39803,0.054711,85.1203,31.5623,228.067,128.0,0.0,0
0.236454,0.278665,2.57463,-0.601143,85.3453,31.5645,226.642,128.0,0.0,0
0.236326,0.278171,2.06851,0.38263800000000003,85.2306,31.563000000000002,236.41400000000002,127.31299999999999,0.0,0
0.24091300000000002,0.28081300000000003,2.85109,0.38263800000000003,85.2552,31.5599,232.80900000000003,127.689,0.0,0
0.23804299999999998,0.28373200000000004,1.95123,0.054711,85.3018,31.5688,203.958,128.0,0.0,0
0.236348,0.28207600000000005,2.0668,0.054711,85.3648,31.5759,229.889,128.0,0.0,0
0.23528000000000002,0.277829,2.72772,0.054711,85.0849,31.5748,227.294,127.31299999999999,0.0,0
0.23402199999999998,0.278445,2.7772900000000003,0.054711,85.1071,31.5756,224.62900000000002,127.689,0.0,0
0.23714899999999997,0.276579,3.00715,0.054711,85.2305,31.5756,245.3,128.689,0.0,0
